word,definition
underscore,(v) emphasize (or, literally, to underline text)
unearth,(v) dig up, uncover, expose
unequivocal,(adj) unambiguous, clear, absolute; having only one possible meaning
unprecedented,(adj) never before known or seen, without having happened previously
unseemly,(adj) improper, inappropriate, against the rules of taste or politeness
veracity,(n) truthfulness, accuracy; habitual adherence to the truth
vintage,(adj, n) related to items of high quality from a previous era, old-fashioned, antique (adj); the wine of a particular year (noun)
virtual,(adj) existing only in the mind or by means of a computer network
vituperate,(v) verbally abuse, rebuke or criticize harshly
warranted,(adj) justified, authorized (warrant can mean to justify or a justification, but can also mean to vouch for or guarantee)
whereas,(conjunction) while on the contrary, considering that
wily,(adj) crafty, cunning, characterized by tricks or artifice
zeal,(n) great fervor or enthusiasm for a cause, person, etc; tireless diligence in furthering that cause; passion, ardor
zenith,(n) high point, culmination
aberration,a deviation from what is normal or expected
abstruse,difficult to understand
adamant,refusing to change one's mind
admonitory,serving to warn
aesthete,one who professes great sensitivity to the beauty of art and nature
amalgam,a mixture of multiple things
amenable,easily persuaded
amorphous,shapeless
antithetical,sharply contrasted in character or purpose
apathetic,marked by a lack of interest
arbitrary,based on a random, groundless decision
artful,exhibiting artistic skill
askance,with a look of suspicion or disapproval
audacity,aggressive boldness in social situations
auspicious,favorable, the opposite of sinister
avaricious,excessively greedy
banality,a trite or obvious remark
belligerent,characteristic of one eager to fight
betray,to reveal or make known something, usually unintentionally
blatant,without any attempt at concealment
brazen,unrestrained by convention or propriety
bucolic,relating to the pleasant aspects of the country
bumbling,lacking physical movement skills, especially with the hands Within a week of starting, the bumbling new waiter was unceremoniously fired
calumny,making of a false statement meant to injure a persons reputation
chastise,to reprimand harshly
chortle,to chuckle, laugh merrily
circumscribe,restrict or confine
circumvent,cleverly find a way out of one's duties or obligations
conspicuous,without any attempt at concealment
constituent,a citizen who is represented in a government by officials for whom he or she votes The mayor's constituents are no longer happy with her performance and plan to vote for another candidate in the upcoming election
contingent,a gathering of persons representative of some larger group
contrition,the feeling of remorse or guilt that comes from doing something bad
contrive,to pull off a plan or scheme, usually through skill or trickery
cryptic,mysterious or vague, usually intentionally
culpability,a state of guilt
deferential,showing respect
demur,to object or show reluctance
derive,come from; be connected by a relationship of blood, for example
dictatorial,expecting unquestioning obedience
diffident,showing modest reserve
dilatory,wasting time
dilettante,an amateur who engages in an activity without serious intentions and who pretends to have knowledge
disaffected,discontented as toward authority
duress,compulsory force or threat
economical,avoiding waste, efficient
edifying,enlightening or uplifting so as to encourage intellectual or moral improvement
efficacious,producing the intended result
elucidate,make clearer and easier to understand
entrenched,fixed firmly or securely
equivocal,confusing or ambiguous
eradicate,to completely destroy
espouse,to adopt or support an idea or cause
exalt,praise or glorify
exonerate,pronounce not guilty of criminal charges
expound,add details or explanation
extant,the opposite of extinct
fastidious,overly concerned with details
flux,a state of uncertainty about what should be done (usually following some important event) Ever since Elvira resigned as the head of marketing, everything about our sales strategy has been in a state of flux
forlorn,marked by or showing hopelessness
forthcoming,available when required or as promised
fortuitous,occurring by happy chance
frivolous,not serious in content or attitude or behavior
frustrate,hinder or prevent (the efforts, plans, or desires) of
furtive,marked by quiet and caution and secrecy; taking pains to avoid being observed While at work, George and his boss Regina felt the need to be as furtive as possible about their romantic relationship
gall,the trait of being rude and impertinent
galvanize,to excite or inspire (someone) to action
glut,an excessive supply
gossamer,characterized by unusual lightness and delicacy
haphazard,marked by great carelessness; dependent upon or characterized by chance Many golf courses are designed with great care, but the greens on the county golf course seem entirely haphazard
harried,troubled persistently especially with petty annoyances
haughty,having or showing arrogant superiority to and disdain of those one views as unworthy
hegemony,dominance over a certain area
heretic,a person who holds unorthodox opinions in any field (not merely religion)
iconoclastic,defying tradition or convention
ignoble,dishonorable
ignominious,(used of conduct or character) deserving or bringing disgrace or shame
impertinent,being disrespectful
implausible,describing a statement that is not believable
imprudent,not wise
impudent,improperly forward or bold
incisive,having or demonstrating ability to recognize or draw fine distinctions
incorrigible,impervious to correction by punishment
indecorous,not in keeping with accepted standards of what is right or proper in polite society
indifference,the trait of seeming not to care
inexorable,impossible to stop or prevent
ingratiate,gain favor with somebody by deliberate efforts
inimical,hostile (usually describes conditions or environments)
inscrutable,not easily understood
insidious,working in a subtle but destructive way
insolent,rude and arrogant
intimate,to suggest something subtly
intransigent,unwilling to change one's beliefs or course of action
inveterate,habitual
involved,complicated, and difficult to comprehend
irrevocable,incapable of being retracted or revoked
itinerant,traveling from place to place to work Doctors used to be itinerant, traveling between patients' homes
jingoism,fanatical patriotism
jovial,full of or showing high-spirited merriment
jubilant,full of high-spirited delight because of triumph or success My hardwork paid off, and I was jubilant to receive a perfect score on the GRE
juxtapose,place side by side
lambast,criticize severely or angrily
largess,extreme generosity and giving
lionize,assign great social importance to
magnanimous,noble and generous in spirit, especially towards a rival or someone less powerful
maintain,to assert
maladroit,clumsy
mawkish,overly sentimental to the point that it is disgusting
mendacity,the tendency to be untruthful
misconstrue,interpret in the wrong way
munificent,very generous
myopic,lacking foresight or imagination
myriad,a large indefinite number
negligible,so small as to be meaningless
nonplussed,unsure how to act or respond
obscure,make unclear
opulence,wealth as evidenced by sumptuous living
ostracize,exclude from a community or group
panache,distinctive and stylish elegance
parochial,narrowly restricted in scope or outlook
parsimonious,extremely frugal
pejorative,expressing disapproval (usu
perfidy,an act of deliberate betrayal
pernicious,exceedingly harmful
petulant,easily irritated or annoyed
poignant,emotionally touching
polemic,a strong verbal or written attack on someone or something
posit,assume as fact
precipitous,done with very great haste and without due deliberation
preclude,keep from happening or arising
precocious,characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude)
predilection,a strong liking
prescience,the power to foresee the future
prolific,intellectually productive
propitious,presenting favorable circumstances; likely to result in or show signs of success The child's heartbeat is still weak, but I am seeing many propitious signs and I think that she may be healing
provincial,characteristic of the a limited perspective; not fashionable or sophisticated Maggie's enthusiasm about her high school teams seemed provincial to her college classmates, all of whom were following a nationally ranked college team
pundit,someone who has been admitted to membership in a scholarly field
qualify,to be legally competent or capable
querulous,habitually complaining
ravenous,extremely hungry
rebuke,criticize severely or angrily
reconcile,make (one thing) compatible with (another)
resurgent,rising again as to new life and vigor
scrupulous,characterized by extreme care and great effort
spurious,plausible but false
staunch,firm and dependable especially in loyalty
stringent,demanding strict attention to rules and procedures
subsume,contain or include
subversive,in opposition to a civil authority or government
sullen,showing a brooding ill humor
superfluous,serving no useful purpose
supplant,take the place or move into the position of
tantamount,being essentially equal to something
tempered,moderated in effect
tenacious,stubbornly unyielding
transient,lasting a very short time
travesty,an absurd presentation of something
treacherous,tending to betray
truncate,reduce the length of something
unscrupulous,without scruples or principles
upbraid,to reproach
vehement,marked by extreme intensity of emotions or convictions
venality,the condition of being susceptible to bribes or corruption
vilify,spread negative information about
vindicate,to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof Even seven Tour de France wins cannot vindicate Lance Armstrong in the eyes of the public--that the athlete used performance enhancing drugs invalidates all those wins
vociferous,conspicuously and offensively loud
volubility,the quality of talking or writing easily and continuously
wanting,lacking
winsome,charming in a childlike or naive way
aboveboard,open and honest
abysmal,extremely bad
affluent,wealthy
altruism,the quality of unselfish concern for the welfare of others
amiable,friendly
amply,more than is adequate
amuck,in a frenzied or uncontrolled state
animosity,intense hostility
antedated,precede in time
antiquated,old-fashioned
apex,the highest point
aphorism,a short instructive saying about a general truth
aphoristic,something that is a concise and instructive of a general truth or principle Sometimes I can't stand Nathan because he tries to impress everyone by being aphoristic, but he just states the obvious
appreciable,large enough to be noticed (usu
apprehension,fearful expectation
ascendancy,the state that exists when one person or group has power over another
ascribe,attribute or credit to
assail,attack in speech or writing
autonomously,In an autonomous or self-governing manner
avarice,greed (one of the seven deadly sins)
avert,turn away
badger,to pester
banish,expel from a community, residence, or location; drive away The most difficult part of the fast was banishing thoughts of food
beatific,blissfully happy
becoming,appropriate, and matches nicely
begrudge,to envy someone for possessing or enjoying something
behooves,to be one's duty or obligation
belittle,lessen the importance, dignity, or reputation of
bellicose,warlike
besiege,harass, as with questions or requests; cause to feel distressed or worried
besmirch,damage the good name and reputation of someone
bleak,having a depressing or gloomy outlook
boon,a desirable state
brusquely,in a blunt, direct manner
buck,resist
cadaverous,emaciated
candidness,the quality of being honest and straightforward in attitude and speech
cardinal,of primary importance
carping,persistently petty and unjustified criticism
cavalier,given to haughty disregard of others Percy dismissed the issue with a cavalier wave of his hand
censor,to examine and remove objectionable material
cerebral,involving intelligence rather than emotions or instinct
champion,protect or fight for as a champion
chauvinist,a person who believes in the superiority of their group
check,to limit (usually modifying the growth of something)
checkered,one that is marked by disreputable happenings
chivalrous,being attentive to women like an ideal knight
clemency,leniency and compassion shown toward offenders by a person or agency charged with administering justice
cohesive,well integrated, forming a united whole
collusion,agreement on a secret plot
colossal,so great in size or force or extent as to elicit awe
commendable,worthy of high praise
compound,make more intense, stronger, or more marked
conducive,making a situation or outcome more likely to happen
conniving,taking part in immoral and unethical plots
consecrate,to make holy or set apart for a high purpose
constraint,something that limits or restricts
consummate,having or revealing supreme mastery or skill
contemptuous,scornful, looking down at others with a sneering attitude
convivial,describing a lively atmosphere
cornucopia,an abundant supply of something good
credence,belief in something
creditable,deserving of praise but not that amazing
credulity,tendency to believe readily
cumbersome,difficult to handle or use especially because of size or weight
dearth,a lack or shortage
decimation,destroying or killing a large part of the population
degrade,reduce in worth or character, usually verbally
delegate,give an assignment to (a person)
deliberate,think about carefully
demean,to insult
demure,to be modest and shy
derisive,abusing vocally
derogative,expressed as worthless or in negative terms
desecrate,to willfully violate or destroy a sacred place
destitute,poor enough to need help from others
deter,turn away from by persuasion
detrimental,(sometimes followed by to) causing harm or injury
devolve,pass on or delegate to another
diabolical,to be extremely wicked like the devil
differentiate,be a distinctive feature, attribute, or trait (sometimes in positive sense)
dilapidated,in terrible condition
diligent,characterized by care and perseverance in carrying out tasks
discord,lack of agreement or harmony
discreet,careful to protect one's speech or actions in order to avoid offense or gain an advantage
discriminate,recognize or perceive the difference
disenfranchise,deprive of voting rights
disheartened,made less hopeful or enthusiastic
docile,easily handled or managed
dog,to pursue relentlessly
egotist,a conceited and self-centered person
eke,To live off meager resources, to scrape by
elaborate,marked by complexity and richness of detail
elude,escape understanding
elusive,difficult to capture or difficult to remember
embroiled,involved in argument or contention
empathetic,showing understanding and ready comprehension of other peoples' states and emotions
enmity,a state of deep-seated ill-will
entice,get someone to do something through (often false or exaggerated) promises
err,to make an error
errant,to be wandering
euphoria,a feeling of great (usually exaggerated) elation
evasive,avoiding or escaping from difficulty or danger or commitment
evenhanded,without partiality
exasperate,to irritate intensely
excruciating,extremely painful
exemplify,be characteristic of
exhort,to strongly urge on
extenuating,making less guilty or more forgivable
fawn,try to gain favor by extreme flattery
ferret,to search for something persistently
fete,to celebrate a person
fickle,liable to sudden unpredictable change, esp
finagle,achieve something by means of trickery or devious methods
fleece,to deceive
flounder,behave awkwardly
flush,to be in abundance
foible,a behavioral attribute that is distinctive and peculiar to an individual
foolhardy,marked by defiant disregard for danger or consequences
forthright,characterized by directness in manner or speech
genial,agreeable, conducive to comfort
genteel,marked by refinement in taste and manners
glean,collect information bit by bit
grovel,show submission or fear
guffaw,laugh boisterously
hamper,prevent the progress or free movement of
hamstrung,made ineffective or powerless
heyday,the pinnacle or top of a time period or career
hound,to pursue relentlessly
humdrum,dull and lacking excitement
illicit,contrary to or forbidden by law
immaterial,not relevant
impeccable,without fault or error
impending,close in time
implicate,convey a meaning
imponderable,impossible to estimate or figure out
impregnable,immune to attack
inarticulate,without or deprived of the use of speech or words
incense,make furious
incessant,uninterrupted in time and indefinitely long continuing
inclement,(of weather) unpleasant, stormy
incumbent,necessary (for someone) as a duty or responsibility
indict,to formally charge or accuse of wrong-doing
indigenous,originating in a certain area
indignant,feeling anger over a perceived injustice
industrious,characterized by hard work and perseverance
inflammable,extremely controversial, incendiary
ingenuity,the power of creative imagination
inkling,a slight suggestion or vague understanding
insolvent,unable to pay one's bills
intermittent,stopping and starting at irregular intervals
irk,irritate or vex
junta,an aggressive takeover by a group (usually military)
laborious,characterized by effort to the point of exhaustion; especially physical effort The most laborious job I've had was working 20 hours a day as a fisherman in King Salmon, Alaska
leery,openly distrustful and unwilling to confide
macabre,suggesting the horror of death and decay
malady,a disease or sickness
malevolent,wishing or appearing to wish evil to others; arising from intense ill will or hatred Villians are known for their malevolent nature, oftentimes inflicting cruetly on others just for enjoyment
malodorous,having an unpleasant smell
martial,suggesting war or military life
maxim,a short saying expressing a general truth
meander,to wander aimlessly
melancholy,a deep, long-lasting sadness
melee,a wild, confusing fight or struggle
mesmerize,to spellbind or enthrall
miscreant,a person who breaks the law
miser,a person who doesn't like to spend money (because they are greedy) Monte was no miser, but was simply frugal, wisely spending the little that he earned
misogynist,a person who dislikes women in particular
moment,significant and important value
moot,open to argument or debate
morph,To undergo dramatic change in a seamless and barely noticeable fashion
muted,softened, subdued
obliging,showing a cheerful willingness to do favors for others
ornate,marked by elaborate rhetoric and elaborated with decorative details
paradoxical,seemingly contradictory but nonetheless possibly true
pastoral,relating to the countryside in a pleasant sense
patronize,treat condescendingly
peevish,easily irritated or annoyed
perpetuate,cause to continue
perquisite,a right reserved exclusively by a particular person or group (especially a hereditary or official right)
pertinent,having precise or logical relevance to the matter at hand
perturb,disturb in mind or cause to be worried or alarmed
peruse,to read very carefully
pine,to yearn for
pinnacle,the highest point
piquant,having an agreeably pungent taste
pithy,concise and full of meaning
pittance,a small amount (of money)
plodding,(of movement) slow and laborious
ploy,a clever plan to turn a situation to one's advantage
powwow,an informal meeting or discussion
precedent,an example that is used to justify similar occurrences at a later time
preempt,take the place of or have precedence over
preemptive,done before someone else can do it
presumption,an assumption that is taken for granted
prevail,be widespread in a particular area at a particular time; be current: During the labor negotiations, an air of hostility prevailed in the office
profusion,the property of being extremely abundant
proponent,a person who pleads for a cause or propounds an idea
provisional,under terms not final or fully worked out or agreed upon
qualm,uneasiness about the fitness of an action
quip,a witty saying or remark
raffish,marked by a carefree unconventionality or disreputableness
raft,a large number of something
rakish,marked by a carefree unconventionality or disreputableness
rankle,gnaw into
rash,marked by defiant disregard for danger or consequences; imprudently incurring risk Although Bruce was able to make the delivery in time with a nightime motorcycle ride in the rain, Susan
redress,an act of making something right
remiss,to be negligent in ones duty
renege,fail to fulfill a promise or obligation
reservation,an unstated doubt that prevents you from accepting something wholeheartedly
resignation,the acceptance of something unpleasant that can't be avoided
respite,a pause from doing something (as work)
retiring,to be shy, and to be inclined to retract from company
retract,pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure
rile,cause annoyance in; disturb, especially by minor irritations
robust,sturdy and strong in form, constitution, or construction
sanctimonious,making a show of being pious
savvy,a perceptive understanding
scintillating,describes someone who is brilliant and lively
screed,an abusive rant (often tedious)
sentimental,effusively or insincerely emotional, especially in art, music, and literature
serendipity,the instance in which an accidental, fortunate discovery is made
serene,calm and peaceful
slapdash,carelessly and hastily put together
smattering,a slight or superficial understanding of a subject
smug,marked by excessive complacency or self-satisfaction
snide,expressive of contempt
snub,refuse to acknowledge
sordid,involving ignoble actions and motives
spendthrift,one who spends money extravagantly
spurn,reject with contempt
squander,spend thoughtlessly; waste time, money, or an opportunity
staid,characterized by dignity and propriety
start,to suddenly move in a particular direction
steadfast,marked by firm determination or resolution
stem,to hold back or limit the flow or growth of something
stipend,a regular allowance (of money)
stymie,hinder or prevent the progress or accomplishment of
summit,the peak or highest point
surly,inclined to anger or bad feelings with overtones of menace
tact,consideration in dealing with others and avoiding giving offense
tarnish,make dirty or spotty, as by exposure to air; also used metaphorically
tawdry,tastelessly showy
taxing,use to the limit
telling,significant and revealing of another factor
telltale,revealing
tender,offer up something formally
thoroughgoing,very thorough
thrifty,spending money wisely
thwart,hinder or prevent (the efforts, plans, or desires) of
tout,advertize in strongly positive terms
travail,use of physical or mental energy
tribulation,something, especially an event, that causes difficulty and suffering
tumult,a state of chaos, noise and confusion
uncanny,suggesting the operation of supernatural influences
uncompromising,not making concessions
unconscionable,unreasonable
underwrite,to support financially
unnerve,to make nervous or upset
unruly,(of persons) noisy and lacking in restraint or discipline
urbane,showing a high degree of refinement and the assurance that comes from wide social experience
vacuous,devoid of intelligence, matter, or significance
vanquish,come out better in a competition, race, or conflict
variance,the quality of varying
veneer,covering consisting of a thin superficial layer that hides the underlying substance Mark Twain referred to the Victorian Period in America as the Gilded Age, implying the ample moral corruption that lay beneath a mere veneer of respectability
vicarious,felt or undergone as if one were taking part in the experience or feelings of another
vie,compete for something
vindictive,to have a very strong desire for revenge
virago,an ill-tempered or violent woman
voracious,very hungry
wanton,without check or limitation; showing no moral restraints to one's anger, desire, or appetites
wax,to gradually increase in size or intensity
abrogate,revoke formally
adjudicate,to serve as a judge in a competition
afford,provide with an opportunity
anathema,a detested person
anemic,lacking energy and vigor
anodyne,something that soothes or relieves pain
antic,ludicrously odd
aplomb,great coolness and composure under strain
apogee,the highest point
apostate,a person who has abandoned a religious faith or cause
apothegm,a short, pithy instructive saying
apotheosis,exaltation to divine status
approbatory,expressing praise or approval
appurtenant,supply added support
arch,to be deliberately teasing
arrant,complete and wholly (usually modifying a noun with negative connotation)
arriviste,a person who has recently reached a position of power
arrogate,seize and control without authority
artifice,cunning tricks used to deceive others
artlessness,the quality of innocence
asperity,harshness of manner
assiduously,with care and persistence
atavism,a reappearance of an earlier characteristic
autocratic,characteristic of an absolute ruler or absolute rule
baleful,threatening or foreshadowing evil or tragic developments
bastardization,an act that debases or corrupts
beg,to evade or dodge (a question)
bemoan,express discontent or a stong regret
benighted,fallen into a state of ignorance
bereft,unhappy in love
besotted,strongly affectionate towards
bilious,irritable
blinkered,to have a limited outlook or understanding
bowdlerize,edit by omitting or modifying parts considered indelicate
bridle,the act of restraining power or action or limiting excess New curfew laws have bridled people's tendency to go out at night
bristle,react in an offended or angry manner
broadside,a strong verbal attack
bromide,a trite or obvious remark
brook,put up with something or somebody unpleasant
browbeat,be bossy towards; discourage or frighten with threats or a domineering manner During the interrogation, the suspect was browbeaten into signing a false confession
byzantine,intricate and complex
callow,young and inexperienced
canard,a deliberately misleading fabrication The public will always be fooled by the media's canards
capitulate,to surrender (usually under agreed conditions)
cataclysm,an event resulting in great loss and misfortune
catholic,of broad scope
cede,relinquish possession or control over
celerity,speed, rapidity
chagrin,strong feelings of embarrassment
charlatan,a flamboyant deceiver
chary,cautious
chimera,something desired or wished for but is only an illusion and impossible to achieve Many believe that a world free of war is a chimera--a dream that ignores humanity's violent tendancies
choleric,prone to outbursts of temper
churlish,lacking manners or refinement
complicit,Associated with or participating in an activity, especially one of a questionable nature
conciliate,to make peace with
concomitant,describing an event or situation that happens at the same time as or in connection with another
conflagration,a very intense and uncontrolled fire
conflate,mix together different elements or concepts
corollary,a practical consequence that follows naturally
cosseted,treat with excessive indulgence
coterminous,being of equal extent or scope or duration
countermand,a contrary command cancelling or reversing a previous command
cow,to intimidate
crestfallen,brought low in spirit
crystallize,cause to take on a definite and clear shape
cupidity,greed for money
curmudgeon,a grouchy, surly person
debonair,having a sophisticated charm
decry,express strong disapproval of
defray,to help pay the cost of, either in part of full
deign,do something that one considers to be below one's dignity
demonstrative,given to or marked by the open expression of emotion
denouement,the final resolution of the many strands of a literary or dramatic work
derelict,(of a person) not doing one's duties
desiccated,uninteresting, lacking vitality
desideratum,something desired as a necessity
despot,a cruel and oppressive dictator
diminutive,to indicate smallness
discursive,(of e
dispensation,an exemption from a rule or obligation
dissipate,squander or spend money frivolously
doleful,filled with or evoking sadness
dolorous,showing sorrow
doughty,brave
dovetail,fit together tightly, as if by means of a interlocking joint
duplicity,deceitfulness, pretending to want one thing but interested in something else
effervescent,marked by high spirits or excitement
elegiac,expressing sorrow
embryonic,in an early stage of development
empiricism,any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge
enamor,attraction or feeling of love
encumber,hold back
enjoin,give instructions to or direct somebody to do something with authority
enormity,an act of extreme wickedness
enthrall,hold spellbound
epigram,a witty saying
epiphany,a sudden revelation or moment of insight
eponym,the name derived from a person (real or imaginary)
ersatz,not real or genuine
ethereal,characterized by lightness and insubstantiality
evanescent,tending to vanish like vapor
excoriate,to criticize very harshly
execrate,to curse and hiss at
exegesis,critical explanation or analysis, especially of a text
exemplar,something to be imitated
exiguity,the quality of being meager
exorbitant,greatly exceeding bounds of reason or moderation
expansive,communicative, and prone to talking in a sociable manner
expunge,to eliminate completely
expurgate,to remove objectionable material
facile,arrived at without due care or effort
factious,produced by, or characterized by internal dissension
factitious,artificial
feckless,lazy and irresponsible
fecund,intellectually productive
fell,terribly evil
firebrand,someone who deliberately creates trouble
flippant,showing inappropriate levity
flummox,be a mystery or bewildering to
fractious,irritable and is likely to cause disruption
gaffe,a socially awkward or tactless act
gambit,a manuveur or risk in a game or conversation, designed to secure an advantage
gerrymander,to manipulate voting districts in order to favor a particular political party Years ago, savvy politicians had gerrymandered the city center to ensure their re-election
graft,corruption, usually through bribery
gumption,resourcefulness and determination
hagiographic,excessively flattering toward someone's life or work
hail,enthusiastically acclaim or celebrate something
halcyon,idyllically calm and peaceful
hauteur,overbearing pride evidenced by a superior manner toward inferiors
hector,to bully or intimidate
hedge,to limit or qualify a statement
histrionic,to be overly theatrical
hoary,ancient
hobble,to hold back the progress of something
hoodwink,to deceive or trick someone
hubris,overbearing pride or presumption
illustrious,widely known and esteemed
imbibe,to drink or absorb as if drinking
imbroglio,a confusing and potentially embarrassing situation
immure,to enclose, usually in walls
impecunious,lacking money
imperious,having or showing arrogant superiority to and disdain of those one views as unworthy
impetuous,characterized by undue haste and lack of thought or deliberation Herbert is rarely impetuous, but on the spur of the moment, he spent thousands of dollars on a motorcycle today
importuned,beg persistently and urgently
improvident,not given careful consideration
impugn,attack as false or wrong
impute,attribute (responsibility or fault) to something
inanity,total lack of meaning or ideas
incontrovertible,necessarily or demonstrably true
indigent,poor
ineffable,too sacred to be uttered
ineluctable,impossible to avoid or evade:
inequity,injustice by virtue of not conforming with rules or standards
infelicitous,inappropriate
inimitable,defying imitation
insouciance,lack of concern
insufferable,intolerable, difficult to endure
internecine,(of conflict) within a group or organization
intimation,an indirect suggestion
inure,to make accustomed to something unpleasant
invidious,likely to cause resentment
inviolable,never to be broken, infringed, or dishonored
inviolate,must be kept sacred
irrefutable,impossible to deny or disprove
jaundice,to be biased against due to envy or prejudice
jejune,dull
jingoist,a person who thinks that their country should be at war
juggernaut,a force that cannot be stopped
kowtow,to bow or act in a subservient manner
lacerate,deeply hurt the feelings of
lachrymose,showing sorrow
languish,become feeble
lascivious,lecherous
limpid,clarity in terms of expression
litany,any long and tedious account of something
loath,unwillingness to do something contrary to your custom (usually followed by 'to') I was loath to leave the concert before my favorite band finished playing
lugubrious,excessively mournful
machinate,engage in plotting or enter into a conspiracy, swear together The rebels met at night in an abandoned barn to machinate
magisterial,offensively self-assured or given to exercising unwarranted power
malapropism,the confusion of a word with another word that sounds similar
malfeasance,misconduct or wrongdoing (especially by a public official)
martinet,a strict disciplinarian
maudlin,overly emotional and sad
maunder,wander aimlessly
mellifluous,smooth and sweet-sounding
mendicant,a pauper who lives by begging
meteoric,like a meteor in speed or brilliance or transience
mettlesome,filled with courage or valor
misattribute,To erroneously attribute
modicum,a small or moderate or token amount
mordant,biting and caustic in thought, manner, or style
moribund,being on the point of death; declining rapidly losing all momentum in progress Whether you like it or not, jazz as a genre is moribund at best, possibly already dead
mulct,to defraud or swindle
nadir,the lowest point
nettlesome,causing irritation or annoyance
noisome,having an extremely bad smell
nonchalant,coming across as cooly uninterested
objurgate,express strong disapproval of
oblique,not straightforward
obstreperous,noisily and stubbornly defiant
obtain,be valid, applicable, or true
obtuse,slow to learn or understand
ossify,make rigid and set into a conventional pattern
overweening,arrogant
palatable,acceptable to the taste or mind
palaver,speak (about unimportant matters) rapidly and incessantly
palimpsest,something that has been changed numerous times but on which traces of former iterations can still be seen
panacea,hypothetical remedy for all ills or diseases
panegyric,a formal expression of praise
parvenu,a person who has suddenly become wealthy, but not socially accepted as part of a higher class
pecuniary,relating to or involving money
pellucid,transparently clear
penurious,lacking money
percipient,highly perceptive
peremptory,bossy and domineering
peripatetic,traveling by foot
perspicacious,acutely insightful and wise
phantasmagorical,illusive
philistine,smug and ignorant towards artistic and cultural values
picayune,trifling or petty (a person)
pillory,ridicule or expose to public scorn
plucky,marked by courage and determination
Pollyannaish,extremely optimistic
pontificate,talk in a dogmatic and pompous manner
portentous,ominously prophetic
presentiment,a feeling of evil to come
primacy,the state of being first in importance
prognostication,a statement made about the future
prolixity,boring verbosity
promulgate,state or announce
proselytize,convert to another religion, philosophy, or perspective
protean,readily taking on different roles
provident,careful in regard to your own interests
puerile,of or characteristic of a child
puissant,powerful
punctilious,marked by precise accordance with details
pyrrhic,describing a victory that comes at such a great cost that the victory is not worthwhile George W
quail,draw back, as with fear or pain
quisling,a traitor
quixotic,wildly idealistic
raconteur,a person skilled in telling anecdotes
raillery,light teasing
rapprochement,the reestablishing of cordial relations
recapitulation,a summary (think of recap)
recrimination,mutual accusations
recrudesce,to break out or happen again
redoubtable,inspiring fear or awe
remonstrate,to make objections while pleading
reprisal,a retaliatory action against an enemy in wartime
ribald,humorously vulgar
row,an angry dispute
sangfroid,calmness or poise in difficult situations
sardonic,disdainfully or ironically humorous
sartorial,related to fashion or clothes
saturnine,morose or gloomy
schadenfreude,joy from watching the suffering of others
effacing,reluctant to draw attention to yourself
semblance,an outward or token appearance or form that is deliberately misleading
sententious,to be moralizing, usually in a pompous sense
simulacrum,a representation of a person (especially in the form of sculpture)
sinecure,an office that involves minimal duties
solecism,a socially awkward or tactless act
solicitude,a feeling of excessive concern
splenetic,very irritable
squelch,suppress or crush completely
stalwart,dependable
stultify,cause one, through routine, to lose energy and enthusiasm
subterfuge,something intended to misrepresent the true nature of an activity
supercilious,haughty and disdainful
surreptitious,stealty, taking pains not to be caught or detected
sybarite,a person who indulges in luxury
temerity,fearless daring
tempestuous,as if driven by turbulent or conflicting emotions
tendentious,likely to lean towards a controversial view
transmute,change or alter in form, appearance, or nature
trenchant,characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect
truculent,having a fierce, savage nature
turgid,(of language) pompous and tedious
turpitude,depravity
tyro,someone new to a field or activity
umbrage,a feeling of anger caused by being offended
unassailable,immune to attack
unflappable,not easily perturbed or excited or upset
unforthcoming,uncooperative, not willing to give up information
unimpeachable,free of guilt
unprepossessing,creating an unfavorable or neutral first impression
unpropitious,(of a circumstance) with little chance of success
unstinting,very generous
untenable,(of theories etc) incapable of being defended or justified
untoward,unfavorable
untrammeled,not confined or limited
unviable,not able to work, survive, or succeed (also spelled inviable)
vaunted,highly or widely praised or boasted about
venial,easily excused or forgiven
verisimilitude,the appearance of truth
veritable,truthfully, without a doubt
vicissitude,change in ones circumstances, usually for the worse
vitriol,abusive or venomous language used to express blame or bitter deep-seated ill will His vitriol spewed forth from a deep-seated racisim that consumed his whole life
vitriolic,harsh or corrosive in tone
zeitgeist,spirit of the times
